Time,20220506_num_of_trades,20220506_1_min_TrdCnt%Change,20220506_5_min_TrdCnt%Change,20220506_running_min_1,20220506running_max_1,20220505_num_of_trades,20220505_1_min_TrdCnt%Change,20220505_5_min_TrdCnt%Change
00:01:00,20867,,,20867.0,20867.0,24620,,
00:02:00,20481,-0.018498107058992685,,20481.0,20867.0,33718,0.3695369618196589,
00:03:00,17387,-0.151066842439334,,17387.0,20867.0,23688,-0.2974672281867252,
00:04:00,18965,0.09075746247196181,,17387.0,20867.0,23246,-0.01865923674434311,
00:05:00,19035,0.003691009754811514,,17387.0,20867.0,24466,0.0524821474662307,
00:06:00,20336,0.06834778040451805,-0.025446877845401783,17387.0,20867.0,17929,-0.26718711681517204,-0.2717709179528839
00:07:00,14716,-0.27635719905586154,-0.2814803964650163,14716.0,20867.0,17281,-0.03614256232918733,-0.48748442968147576
00:08:00,23791,0.6166757270997554,0.3683211594869731,14716.0,23791.0,18027,0.043168798101961725,-0.23898176291793316
00:09:00,19479,-0.18124500861670378,0.02710255734247302,14716.0,23791.0,18268,0.013368835635435783,-0.21414436892368582
00:10:00,21720,0.1150469736639459,0.14105594956658796,14716.0,23791.0,14162,-0.2247646157214802,-0.42115588980626173
00:11:00,14380,-0.33793738489871084,-0.2928796223446105,14380.0,23791.0,13544,-0.04363790425081204,-0.24457582687266444
00:12:00,14827,0.031084840055632723,0.007542810546344203,14380.0,23791.0,14265,0.05323390431187236,-0.1745269370985475
00:13:00,9270,-0.37478923585351054,-0.6103568576352403,9270.0,23791.0,15807,0.10809674027339633,-0.12314861041770675
00:14:00,17091,0.8436893203883495,-0.12259356229785923,9270.0,23791.0,12953,-0.18055291959258557,-0.2909459163564704
00:15:00,12727,-0.2553390673453865,-0.4140423572744014,9270.0,23791.0,12650,-0.02339226434030728,-0.10676458127383137
00:16:00,14682,0.153610434509311,0.021001390820584165,9270.0,23791.0,13316,0.05264822134387348,-0.01683402244536325
00:17:00,14880,0.013485901103391873,0.003574559924462095,9270.0,23791.0,17569,0.31939020726945033,0.23161584297230986
00:18:00,14306,-0.0385752688172043,0.5432578209277239,9270.0,23791.0,14042,-0.20075132335363421,-0.11165939140886949
00:19:00,16841,0.17719837830280993,-0.01462758176818213,9270.0,23791.0,12365,-0.11942743198974504,-0.045394889214853684
00:20:00,27234,0.6171248738198445,1.13986013986014,9270.0,27234.0,13236,0.07044076021027101,0.04632411067193676
00:21:00,26531,-0.025813321583314952,0.8070426372428825,9270.0,27234.0,15097,0.14060139014808093,0.13374887353559628
00:22:00,14942,-0.4368097697033658,0.004166666666666652,9270.0,27234.0,15130,0.002185864741339305,-0.1388240651146907
00:23:00,17121,0.14583054477312274,0.19677058576820916,9270.0,27234.0,12927,-0.1456047587574355,-0.0794046432132175
00:24:00,17077,-0.002569943344430836,0.01401341963066316,9270.0,27234.0,12844,-0.006420669915680355,0.03873837444399508
00:25:00,14235,-0.1664226737717398,-0.47730777704340166,9270.0,27234.0,16432,0.27935222672064786,0.2414626775460864
00:26:00,14625,0.027397260273972712,-0.4487580566130187,9270.0,27234.0,12690,-0.22772638753651409,-0.15943564946678146
00:27:00,10309,-0.2951111111111111,-0.31006558693615316,9270.0,27234.0,15351,0.20969267139479908,0.014606741573033766
00:28:00,17008,0.6498205451547192,-0.006600081770924637,9270.0,27234.0,19617,0.2778972053937854,0.5175214666976096
00:29:00,14387,-0.15410395108184383,-0.1575218129648065,9270.0,27234.0,15525,-0.20859458632818473,0.20873559638741823
00:30:00,12455,-0.13428789879752556,-0.1250439058658237,9270.0,27234.0,12602,-0.1882769726247987,-0.23308179162609544
00:31:00,12566,0.008912083500602241,-0.1407863247863248,9270.0,27234.0,13620,0.08078082843993006,0.07328605200945626
00:32:00,12824,0.02053159318796749,0.24396158696284798,9270.0,27234.0,12454,-0.08560939794419975,-0.18871734740407786
00:33:00,11527,-0.10113849033063005,-0.3222601128880527,9270.0,27234.0,10354,-0.16862052352657786,-0.4721924861089871
00:34:00,10102,-0.12362279864665571,-0.29783832626676865,9270.0,27234.0,12225,0.1807031099092138,-0.2125603864734299
00:35:00,12288,0.2163927935062364,-0.013408269771176262,9270.0,27234.0,11199,-0.08392638036809819,-0.11133153467703538
00:36:00,8009,-0.34822591145833337,-0.3626452331688683,8009.0,27234.0,15201,0.3573533351192071,0.11607929515418491
00:37:00,11446,0.4291422150081159,-0.1074547723019339,8009.0,27234.0,13993,-0.07946845602263009,0.12357475509876337
00:38:00,12149,0.06141883627468103,0.05396026719875069,8009.0,27234.0,12838,-0.08254127063531769,0.2399072822097741
00:39:00,13888,0.1431393530331715,0.374777271827361,8009.0,27234.0,14057,0.09495248481071816,0.1498568507157465
00:40:00,11566,-0.16719470046082952,-0.05875651041666663,8009.0,27234.0,14523,0.03315074340186386,0.2968122153763728
00:41:00,17289,0.49481238111706727,1.1586964664752153,8009.0,27234.0,15515,0.06830544653308546,0.020656535754226768
00:42:00,17222,-0.003875296431256836,0.5046304385811637,8009.0,27234.0,17451,0.12478246857879483,0.24712356178089045
00:43:00,19753,0.1469631866217629,0.6258951354020907,8009.0,27234.0,23505,0.3469142169503181,0.8308926624084749
00:44:00,19138,-0.031134511213486538,0.378024193548387,8009.0,27234.0,22521,-0.041863433312061216,0.6021199402432951
00:45:00,20729,0.08313303375483327,0.792235863738544,8009.0,27234.0,22421,-0.004440300164291089,0.5438270329821662
00:46:00,16794,-0.18983067200540304,-0.0286309213951067,8009.0,27234.0,17795,-0.206324427991615,0.1469545601031259
