Time,20220506_num_of_trades,20220506_C,20220506_1_min_TrdCnt%Change,20220506_5_min_TrdCnt%Change,20220506_running_min_1,20220506running_max_1,20220506_running_min_C,20220506_running_max_C,20220505_num_of_trades,20220505_C,20220505_1_min_TrdCnt%Change,20220505_5_min_TrdCnt%Change
00:01:00,681,36403.92,,,681.0,681.0,36403.92,36403.92,620,39811.15,,
00:02:00,829,36458.7,0.21732745961820843,,681.0,829.0,36403.92,36458.7,599,39806.72,-0.03387096774193543,
00:03:00,806,36419.99,-0.027744270205066313,,681.0,829.0,36403.92,36458.7,445,39798.0,-0.25709515859766274,
00:04:00,601,36429.7,-0.2543424317617866,,601.0,829.0,36403.92,36458.7,676,39834.63,0.5191011235955056,
00:05:00,602,36408.14,0.0016638935108153063,,601.0,829.0,36403.92,36458.7,567,39823.7,-0.16124260355029585,
00:06:00,810,36395.37,0.345514950166113,0.18942731277533031,601.0,829.0,36395.37,36458.7,402,39803.99,-0.29100529100529104,-0.3516129032258064
00:07:00,460,36396.36,-0.4320987654320988,-0.4451145958986731,460.0,829.0,36395.37,36458.7,529,39802.3,0.3159203980099503,-0.11686143572621033
00:08:00,849,36340.11,0.8456521739130434,0.053349875930521096,460.0,849.0,36340.11,36458.7,381,39818.56,-0.27977315689981097,-0.14382022471910116
00:09:00,619,36360.48,-0.27090694935217907,0.029950083194675514,460.0,849.0,36340.11,36458.7,470,39800.0,0.23359580052493434,-0.3047337278106509
00:10:00,607,36342.27,-0.01938610662358642,0.008305647840531671,460.0,849.0,36340.11,36458.7,350,39809.99,-0.25531914893617025,-0.3827160493827161
00:11:00,507,36345.9,-0.1647446457990115,-0.3740740740740741,460.0,849.0,36340.11,36458.7,352,39818.56,0.005714285714285783,-0.12437810945273631
00:12:00,655,36370.0,0.291913214990138,0.423913043478261,460.0,849.0,36340.11,36458.7,580,39831.75,0.6477272727272727,0.0964083175803403
00:13:00,303,36370.01,-0.5374045801526717,-0.6431095406360424,303.0,849.0,36340.11,36458.7,404,39844.41,-0.303448275862069,0.06036745406824151
00:14:00,750,36390.37,1.4752475247524752,0.21163166397415178,303.0,849.0,36340.11,36458.7,443,39846.01,0.09653465346534662,-0.057446808510638325
00:15:00,344,36381.84,-0.5413333333333333,-0.43327841845140036,303.0,849.0,36340.11,36458.7,416,39824.4,-0.060948081264108334,0.1885714285714286
00:16:00,441,36393.12,0.28197674418604657,-0.1301775147928994,303.0,849.0,36340.11,36458.7,364,39809.99,-0.125,0.03409090909090917
00:17:00,596,36399.97,0.35147392290249435,-0.09007633587786257,303.0,849.0,36340.11,36458.7,546,39796.61,0.5,-0.05862068965517242
00:18:00,508,36428.87,-0.1476510067114094,0.6765676567656767,303.0,849.0,36340.11,36458.7,443,39810.96,-0.18864468864468864,0.09653465346534662
00:19:00,704,36478.46,0.3858267716535433,-0.06133333333333335,303.0,849.0,36340.11,36478.46,344,39806.99,-0.2234762979683973,-0.2234762979683973
00:20:00,2104,36584.95,1.9886363636363638,5.116279069767442,303.0,2104.0,36340.11,36584.95,611,39823.51,0.7761627906976745,0.46875
00:21:00,1344,36563.55,-0.3612167300380228,2.0476190476190474,303.0,2104.0,36340.11,36584.95,640,39838.9,0.04746317512274967,0.7582417582417582
00:22:00,607,36569.48,-0.5483630952380952,0.01845637583892623,303.0,2104.0,36340.11,36584.95,566,39810.0,-0.11562499999999998,0.03663003663003672
00:23:00,643,36595.53,0.05930807248764425,0.26574803149606296,303.0,2104.0,36340.11,36595.53,354,39807.21,-0.3745583038869258,-0.20090293453724606
00:24:00,846,36578.98,0.31570762052877144,0.20170454545454541,303.0,2104.0,36340.11,36595.53,411,39809.63,0.1610169491525424,0.19476744186046502
00:25:00,669,36549.99,-0.2092198581560284,-0.6820342205323193,303.0,2104.0,36340.11,36595.53,568,39813.79,0.3819951338199514,-0.0703764320785597
00:26:00,704,36543.33,0.05231689088191338,-0.47619047619047616,303.0,2104.0,36340.11,36595.53,404,39811.5,-0.28873239436619713,-0.36875
00:27:00,619,36536.96,-0.12073863636363635,0.01976935749588149,303.0,2104.0,36340.11,36595.53,1473,39849.98,2.646039603960396,1.6024734982332154
00:28:00,897,36551.68,0.4491114701130856,0.3950233281493001,303.0,2104.0,36340.11,36595.53,1572,39885.45,0.06720977596741351,3.4406779661016946
00:29:00,1364,36500.01,0.5206243032329989,0.6122931442080379,303.0,2104.0,36340.11,36595.53,610,39881.85,-0.6119592875318066,0.4841849148418491
00:30:00,801,36506.23,-0.4127565982404692,0.19730941704035865,303.0,2104.0,36340.11,36595.53,348,39875.75,-0.42950819672131146,-0.38732394366197187
00:31:00,1106,36500.01,0.38077403245942576,0.5710227272727273,303.0,2104.0,36340.11,36595.53,681,39828.04,0.9568965517241379,0.6856435643564356
00:32:00,1289,36502.36,0.1654611211573236,1.0823909531502425,303.0,2104.0,36340.11,36595.53,482,39803.96,-0.29221732745961826,-0.672776646300068
00:33:00,669,36550.0,-0.4809930178432894,-0.254180602006689,303.0,2104.0,36340.11,36595.53,463,39816.15,-0.03941908713692943,-0.705470737913486
00:34:00,509,36531.15,-0.23916292974588937,-0.6268328445747801,303.0,2104.0,36340.11,36595.53,524,39819.11,0.13174946004319654,-0.14098360655737707
00:35:00,721,36499.01,0.4165029469548134,-0.09987515605493136,303.0,2104.0,36340.11,36595.53,431,39830.25,-0.1774809160305344,0.23850574712643668
00:36:00,355,36499.52,-0.507628294036061,-0.6790235081374322,303.0,2104.0,36340.11,36595.53,415,39838.29,-0.037122969837587005,-0.3906020558002937
